number,semester,name,instructors,schedule,level,id
African & African Amer Studies 209A,2017 Fall,b'Africa Rising? New African Economies/Cultures and Their Global Implications',b'Jean Comaroff & John Comaroff',M 0600 PM - 0759 PM,Undergraduate + Graduate,108680
African & African Amer Studies 209B,2018 Spring,b'Africa Rising? New African Economies/Cultures and Their Global Implications',b'Jean Comaroff & John Comaroff',M 0600 PM - 0759 PM,Undergraduate + Graduate,108694
African & African Amer Studies 212,2018 Spring,b'Entrepreneurship in Africa',b'Jacob Olupona',T 1100 AM - 1259 PM,Undergraduate + Graduate,110092
African & African Amer Studies 218,2018 Spring,b'Topics in African American History',b'Evelyn Brooks Higginbotham',W 0200 PM - 0359 PM,Undergraduate + Graduate,115728
African & African Amer Studies 220,2017 Fall,b'Seminar: New Themes in the Study of the African Diaspora: Editorial Internship with Transition',b'Alejandro de la Fuente',R 0100 PM - 0259 PM,Undergraduate + Graduate,110495
African & African Amer Studies 256,2018 Spring,,b'John Comaroff',M 0300 PM - 0429 PM,Undergraduate + Graduate,204463
African & African Amer Studies 262,2017 Fall,b'Research Design/Proposal Writing',b'John Comaroff & Jean Comaroff',T 0500 PM - 0759 PM,Undergraduate + Graduate,203411
African & African Amer Studies 301,2017 Fall,b'Graduate Proseminar',b'Marcyliena Morgan',T 1200 PM - 0159 PM,Graduate,115727
African & African Amer Studies 302,2018 Spring,b'Graduate Seminar',b'James Sidanius',R 0400 PM - 0559 PM,Graduate,116185
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'Lawrence Bobo',,Graduate,115731
African & African Amer Studies 310 Section: 002,2017 Fall,b'Individual Reading Tutorial',b'Emmanuel Akyeampong',,Graduate,115731
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'Ali S. Asani',,Graduate,115731
African & African Amer Studies 310 Section: 004,2017 Fall,b'Individual Reading Tutorial',b'Robert Bates',,Graduate,115731
African & African Amer Studies 310 Section: 005,2017 Fall,b'Individual Reading Tutorial',b'Aisha Beliso-De Jesus',,Graduate,115731
African & African Amer Studies 310 Section: 006,2018 Spring,b'Individual Reading Tutorial',b'Vincent Brown',,Graduate,115731
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'Robin Bernstein',,Graduate,115731
African & African Amer Studies 310 Section: 007,2018 Spring,b'Individual Reading Tutorial',b'Glenda Carpio',,Graduate,115731
African & African Amer Studies 310 Section: 007,2017 Fall,b'Individual Reading Tutorial',b'Suzanne Blier',,Graduate,115731
African & African Amer Studies 310 Section: 008,2018 Spring,b'Individual Reading Tutorial',b'Jean Comaroff',,Graduate,115731
African & African Amer Studies 310 Section: 008,2017 Fall,b'Individual Reading Tutorial',b'Vincent Brown',,Graduate,115731
African & African Amer Studies 310 Section: 009,2018 Spring,b'Individual Reading Tutorial',b'John Comaroff',,Graduate,115731
African & African Amer Studies 310 Section: 009,2017 Fall,b'Individual Reading Tutorial',b'Glenda Carpio',,Graduate,115731
African & African Amer Studies 310 Section: 010,2018 Spring,b'Individual Reading Tutorial',b'Caroline Elkins',,Graduate,115731
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'Jean Comaroff',,Graduate,115731
African & African Amer Studies 310 Section: 011,2018 Spring,b'Individual Reading Tutorial',b'Marla Frederick',,Graduate,115731
African & African Amer Studies 310 Section: 011,2017 Fall,b'Individual Reading Tutorial',b'John Comaroff',,Graduate,115731
African & African Amer Studies 310 Section: 012,2018 Spring,b'Individual Reading Tutorial',b'Alejandro de la Fuente',,Graduate,115731
African & African Amer Studies 310 Section: 012,2017 Fall,b'Individual Reading Tutorial',b'Alejandro de la Fuente',,Graduate,115731
African & African Amer Studies 310 Section: 013,2018 Spring,b'Individual Reading Tutorial',b'Henry Gates',,Graduate,115731
African & African Amer Studies 310 Section: 013,2017 Fall,b'Individual Reading Tutorial',b'Caroline Elkins',,Graduate,115731
African & African Amer Studies 310 Section: 014,2018 Spring,b'Individual Reading Tutorial',b'Claudine Gay',,Graduate,115731
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'Marla Frederick',,Graduate,115731
African & African Amer Studies 310 Section: 015,2018 Spring,b'Individual Reading Tutorial',b'Evelynn Hammonds',,Graduate,115731
African & African Amer Studies 310 Section: 015,2017 Fall,b'Individual Reading Tutorial',b'Henry Gates',,Graduate,115731
African & African Amer Studies 310 Section: 016,2018 Spring,b'Individual Reading Tutorial',b'Evelyn Brooks Higginbotham',,Graduate,115731
African & African Amer Studies 310 Section: 016,2017 Fall,b'Individual Reading Tutorial',b'Claudine Gay',,Graduate,115731
African & African Amer Studies 310 Section: 017,2018 Spring,b'Individual Reading Tutorial',b'Elizabeth Hinton',,Graduate,115731
African & African Amer Studies 310 Section: 017,2017 Fall,b'Individual Reading Tutorial',b'Evelynn Hammonds',,Graduate,115731
African & African Amer Studies 310 Section: 018,2018 Spring,b'Individual Reading Tutorial',b'Jennifer Hochschild',,Graduate,115731
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'Evelyn Brooks Higginbotham',,Graduate,115731
African & African Amer Studies 310 Section: 019,2018 Spring,b'Individual Reading Tutorial',b'Biodun Jeyifo',,Graduate,115731
African & African Amer Studies 310 Section: 019,2017 Fall,b'Individual Reading Tutorial',b'Elizabeth Hinton',,Graduate,115731
African & African Amer Studies 310 Section: 020,2018 Spring,b'Individual Reading Tutorial',b'Walter Johnson',,Graduate,115731
African & African Amer Studies 310 Section: 020,2017 Fall,b'Individual Reading Tutorial',b'Jennifer Hochschild',,Graduate,115731
African & African Amer Studies 310 Section: 021,2018 Spring,b'Individual Reading Tutorial',b'Jamaica Kincaid',,Graduate,115731
African & African Amer Studies 310 Section: 021,2017 Fall,b'Individual Reading Tutorial',b'Biodun Jeyifo',,Graduate,115731
African & African Amer Studies 310 Section: 022,2018 Spring,b'Individual Reading Tutorial',b'Michele Lamont',,Graduate,115731
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'Walter Johnson',,Graduate,115731
African & African Amer Studies 310 Section: 023,2018 Spring,b'Individual Reading Tutorial',b'Sarah Lewis',,Graduate,115731
African & African Amer Studies 310 Section: 023,2017 Fall,b'Individual Reading Tutorial',b'Jamaica Kincaid',,Graduate,115731
African & African Amer Studies 310 Section: 024,2018 Spring,b'Individual Reading Tutorial',b'George Paul Meiu',,Graduate,115731
African & African Amer Studies 310 Section: 024,2017 Fall,b'Individual Reading Tutorial',b'Michele Lamont',,Graduate,115731
African & African Amer Studies 310 Section: 025,2018 Spring,b'Individual Reading Tutorial',b'Ingrid Monson',,Graduate,115731
African & African Amer Studies 310 Section: 025,2017 Fall,b'Individual Reading Tutorial',b'George Paul Meiu',,Graduate,115731
African & African Amer Studies 310 Section: 026,2018 Spring,b'Individual Reading Tutorial',b'Marcyliena Morgan',,Graduate,115731
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'Ingrid Monson',,Graduate,115731
African & African Amer Studies 310 Section: 027,2018 Spring,b'Individual Reading Tutorial',b'John Mugane',,Graduate,115731
African & African Amer Studies 310 Section: 027,2017 Fall,b'Individual Reading Tutorial',b'Marcyliena Morgan',,Graduate,115731
African & African Amer Studies 310 Section: 028,2018 Spring,b'Individual Reading Tutorial',b'Jacob Olupona',,Graduate,115731
African & African Amer Studies 310 Section: 028,2017 Fall,b'Individual Reading Tutorial',b'John Mugane',,Graduate,115731
African & African Amer Studies 310 Section: 029,2018 Spring,b'Individual Reading Tutorial',b'Laurence Ralph',,Graduate,115731
African & African Amer Studies 310 Section: 029,2017 Fall,b'Individual Reading Tutorial',b'Jacob Olupona',,Graduate,115731
African & African Amer Studies 310 Section: 030,2018 Spring,b'Individual Reading Tutorial',b'Tommie Shelby',,Graduate,115731
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'Laurence Ralph',,Graduate,115731
African & African Amer Studies 310 Section: 031,2018 Spring,b'Individual Reading Tutorial',b'Kay Shelemay',,Graduate,115731
African & African Amer Studies 310 Section: 031,2017 Fall,b'Individual Reading Tutorial',b'Tommie Shelby',,Graduate,115731
African & African Amer Studies 310 Section: 032,2018 Spring,b'Individual Reading Tutorial',b'James Sidanius',,Graduate,115731
African & African Amer Studies 310 Section: 032,2017 Fall,b'Individual Reading Tutorial',b'Kay Shelemay',,Graduate,115731
African & African Amer Studies 310 Section: 033,2018 Spring,b'Individual Reading Tutorial',b'Doris Sommer',,Graduate,115731
African & African Amer Studies 310 Section: 033,2017 Fall,b'Individual Reading Tutorial',b'James Sidanius',,Graduate,115731
African & African Amer Studies 310 Section: 034,2018 Spring,b'Individual Reading Tutorial',b'John Stauffer',,Graduate,115731
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'Werner Sollors',,Graduate,115731
African & African Amer Studies 310 Section: 035,2018 Spring,b'Individual Reading Tutorial',b'Brandon Terry',,Graduate,115731
African & African Amer Studies 310 Section: 035,2017 Fall,b'Individual Reading Tutorial',b'Doris Sommer',,Graduate,115731
African & African Amer Studies 310 Section: 036,2018 Spring,b'Individual Reading Tutorial',b'David Williams',,Graduate,115731
African & African Amer Studies 310 Section: 036,2017 Fall,b'Individual Reading Tutorial',b'John Stauffer',,Graduate,115731
African & African Amer Studies 310 Section: 037,2018 Spring,b'Individual Reading Tutorial',b'William Wilson',,Graduate,115731
African & African Amer Studies 310 Section: 037,2017 Fall,b'Individual Reading Tutorial',b'David Williams',,Graduate,115731
African & African Amer Studies 310 Section: 038,2018 Spring,b'Individual Reading Tutorial',b'Emmanuel Akyeampong',,Graduate,115731
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'William Wilson',,Graduate,115731
African & African Amer Studies 310 Section: 039,2018 Spring,b'Individual Reading Tutorial',b'Robert Bates',,Graduate,115731
African & African Amer Studies 310 Section: 039,2017 Fall,b'Individual Reading Tutorial',b'Homi Bhabha',,Graduate,115731
African & African Amer Studies 310 Section: 040,2018 Spring,b'Individual Reading Tutorial',b'Robin Bernstein',,Graduate,115731
African & African Amer Studies 310 Section: 040,2017 Fall,b'Individual Reading Tutorial',b'Orlando Patterson',,Graduate,115731
African & African Amer Studies 310 Section: 041,2018 Spring,b'Individual Reading Tutorial',b'Suzanne Blier',,Graduate,115731
African & African Amer Studies 310 Section: 041,2017 Fall,b'Individual Reading Tutorial',b'Michael Kremer',,Graduate,115731
African & African Amer Studies 310 Section: 042,2018 Spring,b'Individual Reading Tutorial',b'Lawrence Bobo',,Graduate,115731
African & African Amer Studies 310,2017 Fall,b'Individual Reading Tutorial',b'Brandon Terry',,Graduate,115731
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'Lawrence Bobo',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Lawrence Bobo',,Graduate,115732
African & African Amer Studies 390 Section: 002,2018 Spring,b'Individual Research',b'Emmanuel Akyeampong',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Emmanuel Akyeampong',,Graduate,115732
African & African Amer Studies 390 Section: 003,2018 Spring,b'Individual Research',b'Ali S. Asani',,Graduate,115732
African & African Amer Studies 390 Section: 003,2017 Fall,b'Individual Research',b'Ali S. Asani',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'Robert Bates',,Graduate,115732
African & African Amer Studies 390 Section: 004,2017 Fall,b'Individual Research',b'Robert Bates',,Graduate,115732
African & African Amer Studies 390 Section: 005,2018 Spring,b'Individual Research',b'Aisha Beliso-De Jesus',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Aisha Beliso-De Jesus',,Graduate,115732
African & African Amer Studies 390 Section: 006,2018 Spring,b'Individual Research',b'Robin Bernstein',,Graduate,115732
African & African Amer Studies 390 Section: 006,2017 Fall,b'Individual Research',b'Robin Bernstein',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'Suzanne Blier',,Graduate,115732
African & African Amer Studies 390 Section: 007,2017 Fall,b'Individual Research',b'Suzanne Blier',,Graduate,115732
African & African Amer Studies 390 Section: 008,2018 Spring,b'Individual Research',b'Vincent Brown',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Vincent Brown',,Graduate,115732
African & African Amer Studies 390 Section: 009,2018 Spring,b'Individual Research',b'Glenda Carpio',,Graduate,115732
African & African Amer Studies 390 Section: 009,2017 Fall,b'Individual Research',b'Glenda Carpio',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'Jean Comaroff',,Graduate,115732
African & African Amer Studies 390 Section: 010,2017 Fall,b'Individual Research',b'Jean Comaroff',,Graduate,115732
African & African Amer Studies 390 Section: 011,2018 Spring,b'Individual Research',b'John Comaroff',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'John Comaroff',,Graduate,115732
African & African Amer Studies 390 Section: 012,2018 Spring,b'Individual Research',b'Alejandro de la Fuente',,Graduate,115732
African & African Amer Studies 390 Section: 012,2017 Fall,b'Individual Research',b'Alejandro de la Fuente',,Graduate,115732
African & African Amer Studies 390,2018 Spring,b'Individual Research',b'Caroline Elkins',,Graduate,115732
African & African Amer Studies 390 Section: 013,2017 Fall,b'Individual Research',b'Caroline Elkins',,Graduate,115732
African & African Amer Studies 390 Section: 014,2018 Spring,b'Individual Research',b'Marla Frederick',,Graduate,115732
African & African Amer Studies 390,2017 Fall,b'Individual Research',b'Marla Frederick',,Graduate,115732
African & African Amer Studies 390 Section: 015,2018 Spring,b'Individual Research',b'Henry Gates',,Graduate,115732
