number,semester,name,instructors,schedule,level,id
Anthropology 3400,2017 Fall,b'Reading and Research',b'Theodore Bestor',,Graduate,119079
Anthropology 3400 Section: 002,2018 Spring,b'Reading and Research',b'Steven C. Caton',,Graduate,119079
Anthropology 3400 Section: 002,2017 Fall,b'Reading and Research',b'Dav?d L. Carrasco',,Graduate,119079
Anthropology 3400 Section: 003,2018 Spring,b'Reading and Research',b'Lucien Castaing-Taylor',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Lucien Castaing-Taylor',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'Jean Comaroff',,Graduate,119079
Anthropology 3400 Section: 004,2017 Fall,b'Reading and Research',b'Steven C. Caton',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'John Comaroff',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Jean Comaroff',,Graduate,119079
Anthropology 3400 Section: 006,2018 Spring,b'Reading and Research',b'Paul Farmer',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'John Comaroff',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'Rowan Flad',,Graduate,119079
Anthropology 3400 Section: 007,2017 Fall,b'Reading and Research',b'Paul Farmer',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'Byron Good',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'William Fash',,Graduate,119079
Anthropology 3400 Section: 009,2018 Spring,b'Reading and Research',b'Ieva Jusionyte',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Rowan Flad',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'Arthur Kleinman',,Graduate,119079
Anthropology 3400 Section: 010,2017 Fall,b'Reading and Research',b'Byron Good',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'Matthew Liebmann',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Nicholas Harkness',,Graduate,119079
Anthropology 3400 Section: 012,2018 Spring,b'Reading and Research',b'Richard Meadow',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Michael Herzfeld',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'Jeffrey Quilter',,Graduate,119079
Anthropology 3400 Section: 013,2017 Fall,b'Reading and Research',b'Ieva Jusionyte',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'Laurence Ralph',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Arthur Kleinman',,Graduate,119079
Anthropology 3400 Section: 015,2018 Spring,b'Reading and Research',b'George Paul Meiu',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Matthew Liebmann',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'Ajantha Subramanian',,Graduate,119079
Anthropology 3400 Section: 016,2017 Fall,b'Reading and Research',b'Peter Der Manuelian',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'Christian Tryon',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Richard Meadow',,Graduate,119079
Anthropology 3400 Section: 018,2018 Spring,b'Reading and Research',b'Jason Ur',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Michael J. Puett',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'Gary Urton',,Graduate,119079
Anthropology 3400 Section: 019,2017 Fall,b'Reading and Research',b'Jeffrey Quilter',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Laurence Ralph',,Graduate,119079
Anthropology 3400,2018 Spring,b'Reading and Research',b'George Paul Meiu',,Graduate,119079
Anthropology 3400 Section: 021,2017 Fall,b'Reading and Research',b'Mary Steedly',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Ajantha Subramanian',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Christian Tryon',,Graduate,119079
Anthropology 3400 Section: 024,2017 Fall,b'Reading and Research',b'Jason Ur',,Graduate,119079
Anthropology 3400,2017 Fall,b'Reading and Research',b'Gary Urton',,Graduate,119079
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Theodore Bestor',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Theodore Bestor',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Dav?d L. Carrasco',,Graduate,111058
Anthropology 3500 Section: 002,2017 Fall,b'Direction of Doctoral Dissertations',b'Dav?d L. Carrasco',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Lucien Castaing-Taylor',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Steven C. Caton',,Graduate,111058
Anthropology 3500 Section: 005,2018 Spring,b'Direction of Doctoral Dissertations',b'Lucien Castaing-Taylor',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Jean Comaroff',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Steven C. Caton',,Graduate,111058
Anthropology 3500 Section: 006,2017 Fall,b'Direction of Doctoral Dissertations',b'John Comaroff',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Paul Farmer',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Jean Comaroff',,Graduate,111058
Anthropology 3500 Section: 009,2018 Spring,b'Direction of Doctoral Dissertations',b'John Comaroff',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'William Fash',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Rowan Flad',,Graduate,111058
Anthropology 3500 Section: 011,2018 Spring,b'Direction of Doctoral Dissertations',b'Peter Der Manuelian',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Byron Good',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Paul Farmer',,Graduate,111058
Anthropology 3500 Section: 012,2017 Fall,b'Direction of Doctoral Dissertations',b'Nicholas Harkness',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Michael Herzfeld',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Rowan Flad',,Graduate,111058
Anthropology 3500 Section: 014,2017 Fall,b'Direction of Doctoral Dissertations',b'Ieva Jusionyte',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Byron Good',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Arthur Kleinman',,Graduate,111058
Anthropology 3500 Section: 016,2018 Spring,b'Direction of Doctoral Dissertations',b'Ieva Jusionyte',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Matthew Liebmann',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Peter Der Manuelian',,Graduate,111058
Anthropology 3500 Section: 018,2018 Spring,b'Direction of Doctoral Dissertations',b'Arthur Kleinman',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Richard Meadow',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Michael J. Puett',,Graduate,111058
Anthropology 3500 Section: 020,2017 Fall,b'Direction of Doctoral Dissertations',b'Jeffrey Quilter',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Matthew Liebmann',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Laurence Ralph',,Graduate,111058
Anthropology 3500 Section: 022,2018 Spring,b'Direction of Doctoral Dissertations',b'Richard Meadow',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Mary Steedly',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'George Paul Meiu',,Graduate,111058
Anthropology 3500 Section: 023,2017 Fall,b'Direction of Doctoral Dissertations',b'Ajantha Subramanian',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Jeffrey Quilter',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Christian Tryon',,Graduate,111058
Anthropology 3500 Section: 025,2018 Spring,b'Direction of Doctoral Dissertations',b'Ajantha Subramanian',,Graduate,111058
Anthropology 3500,2017 Fall,b'Direction of Doctoral Dissertations',b'Jason Ur',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Christian Tryon',,Graduate,111058
Anthropology 3500 Section: 026,2017 Fall,b'Direction of Doctoral Dissertations',b'Gary Urton',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Jason Ur',,Graduate,111058
Anthropology 3500,2018 Spring,b'Direction of Doctoral Dissertations',b'Gary Urton',,Graduate,111058
Applied Computation 209A,2017 Fall,b'Data Science 1: Introduction to Data Science',b'Pavlos Protopapas & Kevin A. Rader & Margo Levine & Rahul Dave',MW 0100 PM - 0229 PM,Undergraduate + Graduate,109898
Applied Computation 209B,2018 Spring,b'Data Science 2: Advanced Topics in Data Science',b'Mark Glickman',MW 0100 PM - 0229 PM,Undergraduate + Graduate,203547
Applied Computation 274,2017 Fall,,b'Sauro Succi',WF 1000 AM - 1159 AM,Undergraduate + Graduate,
Applied Computation 297R,2018 Spring,b'Computational Science and Engineering Capstone Project',b'Pavlos Protopapas',T 0400 PM - 0559 PM,Undergraduate + Graduate,156202
Applied Computation 298R,2017 Fall,b'Interdisciplinary Seminar in Computational Science & Engineering',b'Daniel Weinstock',F 1200 PM - 0259 PM,Undergraduate + Graduate,109339
Applied Computation 299R,2018 Spring,b'Special Topics in Applied Computation',b'Pavlos Protopapas',,Undergraduate + Graduate,109613
Applied Computation 299R,2017 Fall,b'Special Topics in Applied Computation',b'Pavlos Protopapas',,Undergraduate + Graduate,109613
Applied Computation 302,2018 Spring,b'Special Topics in Computational Science and Engineering',b'Daniel Weinstock',,Graduate,156535
Applied Computation 302,2017 Fall,,b'Daniel Weinstock',,Graduate,156535
Applied Mathematics 21A,2017 Fall,b'Mathematical Methods in the Sciences',b'Sarah Iams',MWF 1100 AM - 1159 AM,Undergraduate,118408
Applied Mathematics 21B,2018 Spring,,b'Zhigang Suo',MWF 1100 AM - 1159 AM,Undergraduate,
Applied Mathematics 50,2018 Spring,b'Introduction to Applied Mathematics',b'Doeke Hekstra',TR 0100 PM - 0229 PM,Undergraduate,122564
Applied Mathematics 91R,2018 Spring,,b'Margo Levine & Sarah Iams',,Undergraduate,
Applied Mathematics 91R,2017 Fall,b'Supervised Reading and Research',b'Margo Levine & Sarah Iams',T 0900 AM - 0959 AM,Undergraduate,121692
Applied Mathematics 99R,2018 Spring,b'Thesis Research',b'Margo Levine & Sarah Iams',,Undergraduate,115654
Applied Mathematics 99R,2017 Fall,b'Thesis Research',b'Margo Levine & Sarah Iams',T 0900 AM - 0959 AM,Undergraduate,115654
Applied Mathematics 101,2017 Fall,b'Statistical Inference for Scientists and Engineers',b'Robert D. Howe',MW 1000 AM - 1129 AM,Undergraduate,132127
Applied Mathematics 104,2017 Fall,"b'Complex Analysis and Series Expansions for Applications to Science, Engineering and Finance'",b'Efthimios Kaxiras',TR 1130 AM - 1259 PM,Undergraduate,122094
Applied Mathematics 105,2018 Spring,b'Ordinary and Partial Differential Equations',b'Margo Levine',MW 1130 AM - 1259 PM,Undergraduate,143432
Applied Mathematics 106,2017 Fall,b'Applied Algebra',b'Madhu Sudan',MW 0230 PM - 0359 PM,Undergraduate,135449
Applied Mathematics 107,2018 Spring,b'Graph Theory and Combinatorics',b'Leslie Valiant',TR 1000 AM - 1129 AM,Undergraduate,118482
Applied Mathematics 108,2018 Spring,b'Nonlinear Dynamical Systems',b'Sarah Iams',MW 0100 PM - 0229 PM,Undergraduate,121989
Applied Mathematics 111,2017 Fall,b'Introduction to Scientific Computing',b'Robin Wordsworth',TR 0100 PM - 0229 PM,Undergraduate,120198
Applied Mathematics 115,2018 Spring,,b'Zhiming Kuang',MW 0230 PM - 0359 PM,Undergraduate,
Applied Mathematics 115,2017 Fall,b'Mathematical Modeling',b'Ariel Amir',TR 1000 AM - 1129 AM,Undergraduate,118021
Applied Mathematics 120,2018 Spring,b'Applied Linear Algebra and Big Data',b'Eli Tziperman',TR 1000 AM - 1129 AM,Undergraduate,113876
Applied Mathematics 121,2017 Fall,b'Introduction to Optimization: Models and Methods',b'Yiling Chen',MW 1000 AM - 1129 AM,Undergraduate,123662
Applied Mathematics 158,2017 Fall,b'Feedback Control Systems: Analysis and Design',b'Na Li',TR 1130 AM - 1259 PM,Undergraduate,203585
Applied Mathematics 201,2017 Fall,b'Physical Mathematics I',b'Becca Thomases',MW 0100 PM - 0229 PM,Undergraduate + Graduate,112798
Applied Mathematics 202,2018 Spring,b'Physical Mathematics II',b'',MWF 1000 AM - 1059 AM,Undergraduate + Graduate,143530
Applied Mathematics 203,2018 Spring,b'Introduction to Disordered Systems and Stochastic Processes',b'Ariel Amir',TR 0830 AM - 0959 AM,Undergraduate + Graduate,156203
Applied Mathematics 205,2017 Fall,b'Advanced Scientific Computing: Numerical Methods',b'Christopher Rycroft',TR 1000 AM - 1129 AM,Undergraduate + Graduate,110684
Applied Mathematics 207,2018 Spring,"b'Advanced Scientific Computing: Stochastic Methods for Data Analysis, Inference and Optimization'",b'Rahul Dave',TR 1130 AM - 1259 PM,Undergraduate + Graduate,127561
Applied Mathematics 216,2018 Spring,,b'Lakshminarayanan Mahadevan',TR 1000 AM - 1129 AM,Undergraduate + Graduate,
Applied Mathematics 217,2017 Fall,b'Instabilities and Patterns in Soft Matter and Biophysics',b'Lakshminarayanan Mahadevan',TR 0100 PM - 0229 PM,Undergraduate + Graduate,204956
Applied Mathematics 221,2018 Spring,b'Advanced Optimization',b'',MW 0230 PM - 0359 PM,Undergraduate + Graduate,107600
Applied Mathematics 225,2018 Spring,b'Advanced Scientific Computing: Numerical Methods for Partial Differential Equations',b'Christopher Rycroft',TR 1000 AM - 1129 AM,Undergraduate + Graduate,203586
Applied Mathematics 231,2018 Spring,b'Decision Theory',b'Demba Ba',TR 1000 AM - 1129 AM,Undergraduate + Graduate,203548
Applied Mathematics 299R,2018 Spring,b'Special Topics in Applied Mathematics',b'',,Undergraduate + Graduate,116840
Applied Mathematics 299R,2017 Fall,b'Special Topics in Applied Mathematics',b'Lakshminarayanan Mahadevan',,Undergraduate + Graduate,116840
Applied Mathematics 316,2018 Spring,"b'Stochastic Processes, Dynamical Systems, Applied Differential Geometry'",b'Roger Brockett',,Graduate,131434
Applied Mathematics 316,2017 Fall,"b'Stochastic Processes, Dynamical Systems, Applied Differential Geometry'",b'Roger Brockett',,Graduate,131434
Applied Mathematics 318,2018 Spring,b'Special Topics in Physical Mathematics',b'Michael P. Brenner',,Graduate,116187
Applied Mathematics 318,2017 Fall,b'Special Topics in Physical Mathematics',b'Michael P. Brenner',,Graduate,116187
Applied Mathematics 320,2018 Spring,b'Topics in Macroscopic Physics and Quantitative Biology',b'Lakshminarayanan Mahadevan',,Graduate,118975
Applied Mathematics 320,2017 Fall,b'Topics in Macroscopic Physics and Quantitative Biology',b'Lakshminarayanan Mahadevan',,Graduate,118975
Applied Mathematics 322,2018 Spring,b'Biological Applications of Mathematics and Automatic Computers',b'William Bossert',,Graduate,138190
Applied Mathematics 322,2017 Fall,b'Biological Applications of Mathematics and Automatic Computers',b'William Bossert',,Graduate,138190
Applied Mathematics 324,2018 Spring,b'Scientific Computation and Mathematical Modeling',b'Christopher Rycroft',,Graduate,159776
Applied Mathematics 324,2017 Fall,b'Scientific Computation and Mathematical Modeling',b'Christopher Rycroft',,Graduate,159776
Applied Mathematics 332,2018 Spring,b'Theoretical Mechanics in the Earth and Engineering Sciences',b'James Rice',,Graduate,116297
Applied Mathematics 332,2017 Fall,,b'James Rice',,Graduate,116297
Applied Physics 50A,2017 Fall,"b'Physics as a Foundation for Science and Engineering, Part I'",b'Philippe Cluzel & Kelly Miller',TR 1000 AM - 1159 AM,Undergraduate,108880
Applied Physics 50B,2018 Spring,"b'Physics as a Foundation for Science and Engineering, Part II'",b'Eric Mazur & Federico Capasso',TR 1000 AM - 1159 AM,Undergraduate,108882
Applied Physics 195,2017 Fall,b'Introduction to Solid State Physics',b'Donhee Ham',WF 0100 PM - 0229 PM,Undergraduate,131331
Applied Physics 216,2018 Spring,b'Electromagnetic Interactions with Matter',b'Jene Golovchenko',WF 1030 AM - 1159 AM,Undergraduate + Graduate,141253
Applied Physics 218,2018 Spring,"b'Electrical, Optical, and Magnetic Properties of Materials'",b'Xin Li',MW 0100 PM - 0229 PM,Undergraduate + Graduate,121594
Applied Physics 225,2017 Fall,b'Introduction to Soft Matter',b'Jennifer Lewis & Shmuel Rubinstein',TR 1130 AM - 1259 PM,Undergraduate + Graduate,121403
Applied Physics 235,2018 Spring,b'Chemistry in Materials Science and Engineering',b'Joanna Aizenberg',TR 0230 PM - 0359 PM,Undergraduate + Graduate,124723
Applied Physics 282,2017 Fall,,b'Frans Spaepen',TR 0830 AM - 0959 AM,Undergraduate + Graduate,142998
Applied Physics 291,2018 Spring,b'Electron Microscopy Laboratory',b'David Bell',M 0230 PM - 0359 PM,Undergraduate + Graduate,116509
Applied Physics 295A,2018 Spring,b'Introduction to Quantum Theory of Solids',b'Efthimios Kaxiras',TR 1000 AM - 1129 AM,Undergraduate + Graduate,143855
Applied Physics 295B,2017 Fall,b'Quantum Theory of Solids',b'Eugene Demler',MW 1000 AM - 1129 AM,Undergraduate + Graduate,146948
Applied Physics 296,2018 Spring,b'Mesoscale and Low Dimensional Devices',b'Donhee Ham',WF 0100 PM - 0229 PM,Undergraduate + Graduate,204955
Applied Physics 298R,2017 Fall,b'Frontier Topics in Molecular Biology',b'Lene Hau',TR 1000 AM - 1129 AM,Undergraduate + Graduate,144326
Applied Physics 299R,2018 Spring,,b'',,Undergraduate + Graduate,
Applied Physics 299R,2017 Fall,b'Special Topics in Applied Physics',b'Federico Capasso',,Undergraduate + Graduate,131373
Applied Physics 302,2018 Spring,b'Applied Condensed Matter Physics',b'Donhee Ham',,Graduate,121977
Applied Physics 302,2017 Fall,b'Applied Condensed Matter Physics',b'Donhee Ham',,Graduate,121977
Applied Physics 304,2018 Spring,b'Materials Science of Biological Inorganic Nanostructures',b'Joanna Aizenberg',,Graduate,123949
Applied Physics 304,2017 Fall,b'Materials Science of Biological Inorganic Nanostructures',b'Joanna Aizenberg',,Graduate,123949
Applied Physics 322,2018 Spring,b'Materials Physics and Engineering',b'David Clarke',,Graduate,125476
Applied Physics 322,2017 Fall,,b'David Clarke',,Graduate,125476
Applied Physics 326,2018 Spring,"b'Optics with Cold Atoms, Nano-structures, and Bio-molecules'",b'Lene Hau',,Graduate,116852
Applied Physics 326,2017 Fall,"b'Optics with Cold Atoms, Nano-structures, and Bio-molecules'",b'Lene Hau',,Graduate,116852
Applied Physics 330,2018 Spring,b'Heterogeneous Nanophotonic Devices and Bio-templated Electronic Materials',b'Evelyn Hu',,Graduate,125472
Applied Physics 330,2017 Fall,b'Heterogeneous Nanophotonic Devices and Bio-templated Electronic Materials',b'Evelyn Hu',,Graduate,125472
Applied Physics 332,2018 Spring,b'Experimental Condensed Matter Physics',b'Robert Westervelt',,Graduate,131285
Applied Physics 332,2017 Fall,b'Experimental Condensed Matter Physics',b'Robert Westervelt',,Graduate,131285
Applied Physics 334,2018 Spring,,b'Jene Golovchenko',,Graduate,143230
Applied Physics 334,2017 Fall,"b'Electronic Properties of Nanostructures, Interaction of Biomolecules with Nanostructures, and X-Ray'",b'Jene Golovchenko',,Graduate,143230
Applied Physics 336,2018 Spring,b'Theoretical Study of the Structure and Electronic Properties of Nanoscale Materials and Biological M',b'Efthimios Kaxiras',,Graduate,148255
Applied Physics 336,2017 Fall,,b'Efthimios Kaxiras',,Graduate,148255
Applied Physics 338,2018 Spring,b'Growth and Properties of Nanostructures and Nanostructure Assemblies; Development and Application of',b'Charles Lieber',,Graduate,146784
Applied Physics 338,2017 Fall,b'Growth and Properties of Nanostructures and Nanostructure Assemblies; Development and Application of',b'Charles Lieber',,Graduate,146784
Applied Physics 340,2018 Spring,b'Topics in Electromagnetic Theory',b'Tai Wu',,Graduate,131560
Applied Physics 340,2017 Fall,b'Topics in Electromagnetic Theory',b'Tai Wu',,Graduate,131560
Applied Physics 342,2018 Spring,b'Nano-Lasers and Single-Photon Sources',b'Marko Loncar',,Graduate,122881
Applied Physics 342,2017 Fall,b'Nano-Lasers and Single-Photon Sources',b'Marko Loncar',,Graduate,122881
Applied Physics 346,2018 Spring,,b'David Keith',,Graduate,109412
Applied Physics 346,2017 Fall,b'Interdisciplinary Dissertation Research',b'David Keith',,Graduate,109412
Applied Physics 348,2018 Spring,b'Mechanics in Earth and Environmental Science',b'James Rice',,Graduate,113128
Applied Physics 348,2017 Fall,,b'James Rice',,Graduate,113128
Applied Physics 350,2018 Spring,b'Experimental Physics in Low Dimensional Materials',b'Philip Kim',,Graduate,156736
Applied Physics 350,2017 Fall,b'Experimental Physics in Low Dimensional Materials',b'Philip Kim',,Graduate,156736
Applied Physics 354,2018 Spring,b'Physics of Bacterial Growth',b'Ariel Amir',,Graduate,156741
Applied Physics 354,2017 Fall,b'Physics of Bacterial Growth',b'Ariel Amir',,Graduate,156741
Applied Physics 356,2018 Spring,b'Special Topics in Theoretical Engineering',b'Michael P. Brenner',,Graduate,116189
Applied Physics 356,2017 Fall,b'Special Topics in Theoretical Engineering',b'Michael P. Brenner',,Graduate,116189
Applied Physics 360,2018 Spring,,b'Eric Mazur',,Graduate,133140
Applied Physics 360,2017 Fall,b'Nonlinear Laser Physics and Materials Engineering',b'Eric Mazur',,Graduate,133140
Applied Physics 362,2018 Spring,"b'Photonics, Quantum Devices and Nanostructures'",b'Federico Capasso',,Graduate,117862
Applied Physics 362,2017 Fall,,b'Federico Capasso',,Graduate,117862
Applied Physics 364,2018 Spring,b'Experimental Soft Condensed Matter Physics',b'David Weitz',,Graduate,112454
Applied Physics 364,2017 Fall,b'Experimental Soft Condensed Matter Physics',b'David Weitz',,Graduate,112454
Applied Physics 366,2018 Spring,"b'Experimental Condensed Matter: Ballistic Transport in Semiconductors, Nanostructures, and Tunneling'",b'Venkatesh Narayanamurti',,Graduate,113769
Applied Physics 366,2017 Fall,"b'Experimental Condensed Matter: Ballistic Transport in Semiconductors, Nanostructures, and Tunneling'",b'Venkatesh Narayanamurti',,Graduate,113769
Applied Physics 368,2018 Spring,b'Topics on Condensed Matter Physics',b'David Nelson',,Graduate,113715
Applied Physics 368,2017 Fall,b'Topics on Condensed Matter Physics',b'David Nelson',,Graduate,113715
Applied Physics 370,2018 Spring,,b'Peter S. Pershan',,Graduate,144348
Applied Physics 370,2017 Fall,b'Experimental Condensed Matter: Synchrotron X-Ray Scattering Studies of Interfacial Phenomena (Liquid',b'Peter S. Pershan',,Graduate,144348
Applied Physics 372,2018 Spring,b'Biological Physics and Quantitative Biology',b'Daniel Needleman',,Graduate,125419
Applied Physics 372,2017 Fall,,b'Daniel Needleman',,Graduate,125419
Applied Physics 374,2018 Spring,b'Signaling Processing and Systems Biology',b'Sharad Ramanathan',,Graduate,126172
Applied Physics 374,2017 Fall,b'Signaling Processing and Systems Biology',b'Sharad Ramanathan',,Graduate,126172
Applied Physics 376,2018 Spring,b'Nonlinear Dynamics of Soft Interfaces',b'Shmuel Rubinstein',,Graduate,110265
Applied Physics 376,2017 Fall,b'Nonlinear Dynamics of Soft Interfaces',b'Shmuel Rubinstein',,Graduate,110265
Applied Physics 384,2018 Spring,b'Topics in Atmospheric and Climate Dynamics',b'Zhiming Kuang',,Graduate,121287
Applied Physics 384,2017 Fall,b'Topics in Atmospheric and Climate Dynamics',b'Zhiming Kuang',,Graduate,121287
Applied Physics 388,2018 Spring,,b'Eli Tziperman',,Graduate,118649
Applied Physics 388,2017 Fall,b'Climate Dynamics and Physical Oceanography',b'Eli Tziperman',,Graduate,118649
Applied Physics 392,2018 Spring,b'Experimental Soft Condensed Matter and Materials Physics',b'Vinothan Manoharan',,Graduate,120887
Applied Physics 392,2017 Fall,,b'Vinothan Manoharan',,Graduate,120887
Applied Physics 394,2018 Spring,b'Experimental Studies of Interfaces and Surfaces',b'Cynthia Friend',,Graduate,116593
Applied Physics 394,2017 Fall,b'Experimental Studies of Interfaces and Surfaces',b'Cynthia Friend',,Graduate,116593
Applied Physics 396,2018 Spring,b'Topics in Materials Science',b'Michael Aziz',,Graduate,142229
Applied Physics 396,2017 Fall,b'Topics in Materials Science',b'Michael Aziz',,Graduate,142229
Applied Physics 398,2018 Spring,b'Materials Science',b'Frans Spaepen',,Graduate,148042
Applied Physics 398,2017 Fall,b'Materials Science',b'Frans Spaepen',,Graduate,148042
Design 300,2018 Spring,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Giuliana Bruno',,Graduate,117756
Design 300 Section: 0005,2017 Fall,,b'Giuliana Bruno',,Graduate,
Design 300,2018 Spring,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Jerold Kayden',,Graduate,117756
Design 300 Section: 0007,2017 Fall,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Jerold Kayden',,Graduate,117756
Design 300,2018 Spring,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'',,Graduate,117756
Design 300,2017 Fall,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Antoine Picon',,Graduate,117756
Design 300 Section: 002,2018 Spring,,b'K. Hays',,Graduate,117756
Design 300 Section: 002,2017 Fall,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'K. Hays',,Graduate,117756
Design 300,2018 Spring,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Erika Naginski',,Graduate,117756
Design 300 Section: 003,2017 Fall,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Erika Naginski',,Graduate,117756
Design 300 Section: 004,2018 Spring,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Eve Blau',,Graduate,117756
Design 300 Section: 004,2017 Fall,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Eve Blau',,Graduate,117756
Design 300 Section: 006,2018 Spring,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Peter Galison',,Graduate,117756
Design 300 Section: 006,2017 Fall,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Peter Galison',,Graduate,117756
Design 300,2018 Spring,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Alina Payne',,Graduate,117756
Design 300 Section: 008,2017 Fall,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Alina Payne',,Graduate,117756
Design 300 Section: 009,2018 Spring,,b'Christine Smith',,Graduate,117756
Design 300 Section: 009,2017 Fall,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Christine Smith',,Graduate,117756
Design 300 Section: 010,2018 Spring,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Sonja Duempelmann',,Graduate,117756
Design 300 Section: 010,2017 Fall,,b'Sonja Duempelmann',,Graduate,117756
Design 300 Section: 011,2018 Spring,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Joyce Chaplin',,Graduate,117756
Design 300 Section: 011,2017 Fall,"b'Reading and Research in Architecture, Landscape Architecture, or Urban Planning'",b'Joyce Chaplin',,Graduate,117756
